name	maxEnrichment	numberClusters	meanEnrichment	meanPValue	sumEnrichment	sumPValue	meanInd	meanDims	meanPheno	time
clique_small_6_0.3	1.22670598764169_0.268048602768865	0_1_1	NaN_NaN_1.22670598764169	NaN_NaN_0.268048602768865	0_0_1.22670598764169	0_0_0.268048602768865	NaN_NaN_108	NaN_NaN_2	NaN_0.0491052850603412_0.0491052850603412	0.704
clique_small_8_0.04	109.034020005892_1.59524271704392e-25	1856_4464_6320	11.1289167132836_0.970804090270848_3.95394602513028	0.0119315741628741_0.500802835025938_0.357235578671215	20655.2694198543_4333.66945896906_24988.9388788233	22.1450016462944_2235.58385555579_2257.72885720208	64.901400862069_40.8469982078853_47.9110759493671	2.87230603448276_2.97535842293907_2.94509493670886	0.244016872561638_0.095957020310669_0.139437888313485	352.504
clique_small_8_0.08	89.3377157460426_3.32852601652997e-21	258_425_683	15.221952037895_1.01946315942427_6.38438575187734	0.00970228801036743_0.486909237049958_0.306646582800742	3927.26362577691_433.271842755313_4360.53546853222	2.5031903066748_206.936425746232_209.439616052907	110.992248062016_87.8282352941176_96.5783308931186	2.08139534883721_2.10823529411765_2.09809663250366	0.162637939950456_0.0511174117395891_0.0932437606098726	10.329
clique_small_8_0.1	58.9190102849821_1.64297179755645e-14	155_332_487	13.9897825659635_0.984888822818544_5.12402338172505	0.00803671900000551_0.510267379833392_0.350419838911061	2168.41629772434_326.983089175757_2495.3993869001	1.24569144500085_169.408770104686_170.654461549687	88.1548387096774_71.9096385542169_77.0800821355236	2.00645161290323_2.01204819277108_2.01026694045175	0.184745782936658_0.0523244825856695_0.0944708923483044	3.86
clique_small_8_0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_small_8_0.3
cosa_small_0.1_2_130	39.7024502757176_2.95754218141754e-10	3_8_11	16.8407097824743_1.6956194773112_5.82609865144659	0.0147415147693342_0.245542041337544_0.182596443182577	50.5221293474229_13.5649558184896_64.0870851659125	0.0442245443080026_1.96433633070035_2.00856087500835	54_23.875_32.0909090909091	NA_NA_NA	0.329401361043793_0.174815136641948_0.216975016024269	104.194
cosa_small_0.1_2_30	35.5560701970409_2.4781359906596e-09	3_3_6	18.0551530544471_2.01296193273832_10.0340574935927	0.0165264663362783_0.162096386052361_0.0893114261943196	54.1654591633414_6.03888579821496_60.2043449615563	0.0495793990088349_0.486289158157083_0.535868557165918	78.3333333333333_40.3333333333333_59.3333333333333	NA_NA_NA	0.264115203845871_0.120279736087598_0.192197469966735	38.522
cosa_small_0.1_2_80	44.6394783871824_2.3686707358397e-11	3_5_8	20.3271720148309_1.81024921619733_8.75409526568493	0.0106562841196142_0.251115403579887_0.160943233782285	60.9815160444928_9.05124608098664_70.0327621254795	0.0319688523588425_1.25557701789944_1.28754587025828	70_28.6_44.125	NA_NA_NA	0.276974846316472_0.161409420922317_0.204746455445125	117.244
cosa_small_0.1_4_130	36.4749751481903_1.54638926048075e-09	2_9_11	21.8394120337265_1.71882446648336_5.37711311507302	0.00363737043719831_0.280862328307824_0.230457790513165	43.6788240674529_15.4694201983503_59.1482442658032	0.00727474087439662_2.52776095477041_2.53503569564481	75.5_22.4444444444444_32.0909090909091	NA_NA_NA	0.348591549295775_0.169431192160593_0.202005802548808	279.466
cosa_small_0.1_4_30	36.6592366888824_1.40690807186302e-09	3_3_6	17.9455785832405_2.15276358674279_10.0491710849916	0.0136721972410275_0.164419612820011_0.0890459050305192	53.8367357497215_6.45829076022838_60.2950265099499	0.0410165917230825_0.493258838460033_0.534275430183115	84.6666666666667_34_59.3333333333333	NA_NA_NA	0.244306812537218_0.15855576714065_0.201431289838934	88.532
cosa_small_0.1_4_80	39.1366360929238_3.95158841567344e-10	3_6_9	17.0503305715068_1.92919736300391_6.96957509917156	0.0110876941270521_0.312244045409627_0.211858594982102	51.1509917145205_11.5751841780235_62.726175892544	0.0332630823811563_1.87346427245776_1.90672735483892	67_25.3333333333333_39.2222222222222	NA_NA_NA	0.24774079447184_0.15247294293476_0.18422889344712	125.649
cosa_small_0.1_7_130	44.741130473882_2.24883335449832e-11	4_6_10	15.6980436330881_1.22394892631914_7.01358680902673	0.0220351650019889_0.433735542090197_0.269055391254914	62.7921745323525_7.34369355791483_70.1358680902673	0.0881406600079555_2.60241325254119_2.69055391254914	52.75_23.3333333333333_35.1	NA_NA_NA	0.30317297040671_0.12843312980623_0.198329066046422	257.515
cosa_small_0.1_7_30	34.4219574828699_4.43689468020111e-09	3_3_6	16.1494840092294_1.45842583911165_8.80395492417055	0.00541545939167011_0.257165732526046_0.131290595958858	48.4484520276883_4.37527751733495_52.8237295450233	0.0162463781750103_0.771497197578137_0.787743575753147	91.6666666666667_26.3333333333333_59	NA_NA_NA	0.187827481127015_0.132838099972289_0.160332790549652	144.672
cosa_small_0.1_7_80	40.5923872834173_1.87535879470384e-10	3_7_10	18.063272921505_2.07265638082034_6.86984134302574	0.00624270133097007_0.276865098444511_0.195678379310449	54.189818764515_14.5085946657424_68.6984134302574	0.0187281039929102_1.93805568911158_1.95678379310449	59.3333333333333_24.7142857142857_35.1	NA_NA_NA	0.318803623130661_0.175469099731788_0.21846945675145	201.516
