name	maxEnrichment	numberClusters	meanEnrichment	meanPValue	sumEnrichment	sumPValue	meanInd	meanDims	meanPheno	time
doc_big_0.4_0.5_1.28014369266392	13.1663471323995_0.000285021808548332	2_0_2	13.1663471323995_NaN_13.1663471323995	0.000285021808548332_NaN_0.000285021808548332	26.332694264799_0_26.332694264799	0.000570043617096664_0_0.000570043617096664	873.5_NaN_873.5	5856_NaN_5856	0.0439707224693638_NaN_0.0439707224693638	62.617
doc_big_0.4_0.5_1.28014369266392	13.1663471323995_0.000285021808548332	2_0_2	13.1663471323995_NaN_13.1663471323995	0.000285021808548332_NaN_0.000285021808548332	26.332694264799_0_26.332694264799	0.000570043617096664_0_0.000570043617096664	873.5_NaN_873.5	5856_NaN_5856	0.0439707224693638_NaN_0.0439707224693638	61.495
doc_big_0.4_0.5_1.28014369266392	13.1663471323995_0.000285021808548332	2_0_2	13.1663471323995_NaN_13.1663471323995	0.000285021808548332_NaN_0.000285021808548332	26.332694264799_0_26.332694264799	0.000570043617096664_0_0.000570043617096664	873.5_NaN_873.5	5856_NaN_5856	0.0439707224693638_NaN_0.0439707224693638	61.245
doc_big_0.4_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	88.97
doc_big_0.4_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	85.535
doc_big_0.4_0.75_0.393890366973515	0.0517866980439681_0.819982947818827	0_2_2	NaN_NaN_0.0517866980439681	NaN_NaN_0.819982947818827	0_0_0.103573396087936	0_0_1.63996589563765	NaN_NaN_873.5	NaN_NaN_5753	NaN_0.00380771460065066_0.00380771460065066	84.066
doc_big_0.4_0.75_0.78778073394703	4.6098501132267_0.0317888116586125	2_1_3	4.4522254502972_0.00093869365549784_2.9684631980833	0.0350111914185995_0.975558150698194_0.348526844511798	8.90445090059439_0.00093869365549784_8.90538959424989	0.070022382837199_0.975558150698194_1.04558053353539	807_133_582.333333333333	5818.5_30_3889	0.0278754429523495_0.00503548510658447_0.0202621236704278	87.28
doc_big_0.4_0.75_0.78778073394703	4.6098501132267_0.0317888116586125	2_1_3	4.4522254502972_0.00093869365549784_2.9684631980833	0.0350111914185995_0.975558150698194_0.348526844511798	8.90445090059439_0.00093869365549784_8.90538959424989	0.070022382837199_0.975558150698194_1.04558053353539	807_133_582.333333333333	5818.5_30_3889	0.0278754429523495_0.00503548510658447_0.0202621236704278	86.347
doc_big_0.4_0.75_0.78778073394703	4.6098501132267_0.0317888116586125	2_1_3	4.4522254502972_0.00093869365549784_2.9684631980833	0.0350111914185995_0.975558150698194_0.348526844511798	8.90445090059439_0.00093869365549784_8.90538959424989	0.070022382837199_0.975558150698194_1.04558053353539	807_133_582.333333333333	5818.5_30_3889	0.0278754429523495_0.00503548510658447_0.0202621236704278	86.185
doc_small_0.1_0.25_0.398528102921056	4.49521787612159_0.0339897820720761	1_6_7	4.49521787612159_0.615644155689297_1.16986897289391	0.0339897820720761_0.52935122588023_0.458585305336208	4.49521787612159_3.69386493413578_8.18908281025737	0.0339897820720761_3.17610735528138_3.21009713735345	37_53.1666666666667_50.8571428571429	34_129.666666666667_116	0.178484664439721_0.0516894764171952_0.0698030747061274	10.35
doc_small_0.1_0.25_0.398528102921056	0.460089748710535_0.497582031989259	0_7_7	NaN_NaN_0.171711564781803	NaN_NaN_0.739777621367518	0_0_1.20198095347262	0_0_5.17844334957263	NaN_NaN_50.8571428571429	NaN_NaN_120.571428571429	NaN_0.0335502241640626_0.0335502241640626	7.388
doc_small_0.1_0.25_0.398528102921056	3.18262992317478_0.0744248527552842	0_7_7	NaN_NaN_1.09679656504209	NaN_NaN_0.37143384644851	0_0_7.67757595529461	0_0_2.60003692513957	NaN_NaN_50.8571428571429	NaN_NaN_121.142857142857	NaN_0.0732378207504284_0.0732378207504284	7.485
doc_small_0.1_0.25_0.797056205842111	4.98761319271175_0.0255293991277896	1_3_4	4.98761319271175_1.14150165648619_2.10302954054258	0.0255293991277896_0.320814019915933_0.246992864718897	4.98761319271175_3.42450496945856_8.41211816217031	0.0255293991277896_0.962442059747799_0.987971458875588	47_103_89	78_273.666666666667_224.75	0.162383456849151_0.0608274879897561_0.0862164802046049	10.247
doc_small_0.1_0.25_0.797056205842111	4.98761319271175_0.0255293991277896	1_3_4	4.98761319271175_1.14150165648619_2.10302954054258	0.0255293991277896_0.320814019915933_0.246992864718897	4.98761319271175_3.42450496945856_8.41211816217031	0.0255293991277896_0.962442059747799_0.987971458875588	47_103_89	78_273.666666666667_224.75	0.162383456849151_0.0608274879897561_0.0862164802046049	8.233
doc_small_0.1_0.25_0.797056205842111	4.98761319271175_0.0255293991277896	1_3_4	4.98761319271175_1.14150165648619_2.10302954054258	0.0255293991277896_0.320814019915933_0.246992864718897	4.98761319271175_3.42450496945856_8.41211816217031	0.0255293991277896_0.962442059747799_0.987971458875588	47_103_89	78_273.666666666667_224.75	0.162383456849151_0.0608274879897561_0.0862164802046049	7.934
doc_small_0.1_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.1_0.25_1.29521633449343
doc_small_0.1_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.1_0.25_1.29521633449343
doc_small_0.1_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.1_0.25_1.29521633449343
doc_small_0.1_0.5_0.398528102921056	27.7014137101824_1.41559222295191e-07	3_2_5	15.0089665145912_1.36125511040053_9.54988195291492	0.00464142486549078_0.246666250082278_0.101451354952206	45.0268995437736_2.72251022080105_47.7494097645746	0.0139242745964724_0.493332500164556_0.507256774761028	64.6666666666667_81_71.2	227.333333333333_23.5_145.8	0.217516051364366_0.0688924218335983_0.158066599552059	8.383
doc_small_0.1_0.5_0.398528102921056	27.7014137101824_1.41559222295191e-07	3_2_5	14.2090431332369_1.04144107637618_8.94200231049261	0.00538539901844402_0.308855256324552_0.126773341940887	42.6271293997107_2.08288215275237_44.710011552463	0.016156197055332_0.617710512649104_0.633866709704436	65.3333333333333_80_71.2	227.333333333333_23.5_145.8	0.206646486146975_0.0604890604890605_0.148183515883809	6.156
doc_small_0.1_0.5_0.398528102921056	27.7014137101824_1.41559222295191e-07	3_2_5	15.0089665145912_1.36125511040053_9.54988195291492	0.00464142486549078_0.246666250082278_0.101451354952206	45.0268995437736_2.72251022080105_47.7494097645746	0.0139242745964724_0.493332500164556_0.507256774761028	64.6666666666667_81_71.2	227.333333333333_23.5_145.8	0.217516051364366_0.0688924218335983_0.158066599552059	5.928
doc_small_0.1_0.5_0.797056205842111	23.3214621345872_1.37062040472085e-06	5_4_9	13.6408023993053_0.749562884958248_7.91136261515108	0.00747812059629969_0.489299614267859_0.221621006672548	68.2040119965267_2.99825153983299_71.2022635363597	0.0373906029814984_1.95719845707144_1.99458906005293	43_35.25_39.5555555555556	179.6_53_123.333333333333	0.264635871826883_0.0720841736291175_0.179057339294543	13.049
doc_small_0.1_0.5_0.797056205842111	23.28210336865_1.3989569420269e-06	4_5_9	16.2390869733843_0.282993991322886_7.37459087223909	0.00046152975406114_0.658194061001285_0.365868491558074	64.9563478935374_1.41496995661443_66.3713178501518	0.00184611901624456_3.29097030500642_3.29281642402267	41.75_37.8_39.5555555555556	211.75_48_120.777777777778	0.301086956521739_0.0512954429785069_0.162313893442166	10.696
doc_small_0.1_0.5_0.797056205842111	23.28210336865_1.3989569420269e-06	6_3_9	11.9931845361798_0.118125662839864_8.03483157839985	0.00655177246716623_0.740291467007752_0.251131670647362	71.9591072170791_0.354376988519591_72.3134842055987	0.0393106348029974_2.22087440102326_2.26018503582625	41.5_35.6666666666667_39.5555555555556	155.333333333333_50.3333333333333_120.333333333333	0.255480793852887_0.0459741012509873_0.185645229652254	10.567
doc_small_0.1_0.5_1.29521633449343	15.1326682081951_0.000100214056638453	5_4_9	9.99486296531554_0.753843986497801_5.88774341917432	0.00358219234157452_0.450654924584033_0.202281184449334	49.9743148265777_3.0153759459912_52.9896907725689	0.0179109617078726_1.80261969833613_1.820530660044	40.6_38.25_39.5555555555556	273.4_101_196.777777777778	0.243451202297428_0.0743506768481167_0.168295413208845	17.443
doc_small_0.1_0.5_1.29521633449343	15.5443478967009_8.05922329340572e-05	5_4_9	11.2448969637783_2.04325609476365_7.15527879977181	0.00297410021191322_0.18747971781957_0.0849765969264275	56.2244848188916_8.17302437905461_64.3975091979462	0.0148705010595661_0.749918871278281_0.764789372337847	38.4_41_39.5555555555556	226.4_166_199.555555555556	0.26518928400253_0.114706094590409_0.198307866486032	15.17
doc_small_0.1_0.5_1.29521633449343	7.92360702733611_0.00487938968813651	5_5_10	6.37579553256244_0.888462077682019_3.63212880512223	0.0152395412449361_0.631563255635094_0.323401398440015	31.8789776628122_4.4423103884101_36.3212880512223	0.0761977062246804_3.15781627817547_3.23401398440015	38_33.2_35.6	280.2_118.2_199.2	0.205640772831784_0.064346247839202_0.134993510335493	15.226
doc_small_0.1_0.75_0.398528102921056	60.2714753594768_8.26363021429728e-15	2_1_3	36.7931946742876_3.21431594457823_25.6002350977178	0.000131651702227283_0.0729966969870987_0.0244200001305177	73.5863893485752_3.21431594457823_76.8007052931534	0.000263303404454567_0.0729966969870987_0.0732600003915532	107.5_60_91.6666666666667	348_30_242	0.233724407637451_0.113857677902622_0.193768831059175	7.821
doc_small_0.1_0.75_0.398528102921056	60.2714753594768_8.26363021429728e-15	3_0_3	25.5784703977857_NaN_25.5784703977857	0.00315850058340632_NaN_0.00315850058340632	76.735411193357_0_76.735411193357	0.00947550175021895_0_0.00947550175021895	91.6666666666667_NaN_91.6666666666667	238.666666666667_NaN_238.666666666667	0.199907753864764_NaN_0.199907753864764	4.879
doc_small_0.1_0.75_0.398528102921056	60.2714753594768_8.26363021429728e-15	2_1_3	36.1706605217897_3.79576622882422_25.3790290908012	0.000256219711112821_0.0513823506601644_0.0172982633607967	72.3413210435794_3.79576622882422_76.1370872724036	0.000512439422225641_0.0513823506601644_0.0518947900823901	108_59_91.6666666666667	348_30_242	0.226990400903444_0.124309655303752_0.192763485703547	4.811
doc_small_0.1_0.75_0.797056205842111	58.870219898355_1.68422089986495e-14	3_1_4	33.8255042064491_0.296465709589467_25.4432445822342	0.000141064618688335_0.586106634182452_0.146632457009629	101.476512619347_0.296465709589467_101.772978328937	0.000423193856065005_0.586106634182452_0.586529828038517	114.333333333333_13_89	237.666666666667_25_184.5	0.234018755719756_0.112575626620571_0.20365797344496	7.709
doc_small_0.1_0.75_0.797056205842111	58.870219898355_1.68422089986495e-14	3_1_4	35.8168612315972_4.75758823200058e-29_26.8626459236979	0.0135202873642339_0.999999999999994_0.260140215523174	107.450583694792_4.75758823200058e-29_107.450583694792	0.0405608620927018_0.999999999999994_1.0405608620927	114.333333333333_13_89	237.666666666667_9_180.5	0.208763613359351_0.0356525496974935_0.165485847443886	5.663
doc_small_0.1_0.75_0.797056205842111	58.870219898355_1.68422089986495e-14	2_2_4	51.6281578780123_1.5943253493381_26.6112416136752	1.34881742418874e-11_0.337558384203205_0.168779192108347	103.256315756025_3.1886506986762_106.444966454701	2.69763484837747e-11_0.67511676840641_0.675116768433386	153_25_89	341.5_19.5_180.5	0.226712076583211_0.129207643252587_0.177959859917899	5.576
doc_small_0.1_0.75_1.29521633449343	16.7749716287397_4.20847410053633e-05	6_2_8	11.0869851213755_1.80155693817575_8.76562807557558	0.0051607388177444_0.528835726535752_0.136079485747246	66.5219107282532_3.6031138763515_70.1250246046047	0.0309644329064664_1.0576714530715_1.08863588597797	45.6666666666667_41_44.5	225.833333333333_148.5_206.5	0.236879038443195_0.0833333333333333_0.19849261216573	13.802
doc_small_0.1_0.75_1.29521633449343	13.4997012077605_0.000238601443179596	4_4_8	10.646688794917_1.80758156300303_6.22713517896	0.0113065921184249_0.246742282903473_0.129024437510949	42.5867551796679_7.23032625201213_49.81708143168	0.0452263684736996_0.986969131613893_1.03219550008759	50.5_38.5_44.5	264.75_135.25_200	0.21836560711241_0.110286742309214_0.164326174710812	11.12
doc_small_0.1_0.75_1.29521633449343	17.191915082428_3.37871241857238e-05	6_3_9	9.8150792418288_1.45900339216095_7.02972062527285	0.0199548363134013_0.25196258346944_0.0972907520320808	58.8904754509728_4.37701017648287_63.2674856274557	0.119729017880408_0.75588775040832_0.875616768288727	39.1666666666667_40.3333333333333_39.5555555555556	213.666666666667_110.666666666667_179.333333333333	0.275740858057931_0.0995350496265051_0.217005588580789	11.128
doc_small_0.2_0.25_0.398528102921056	0.486363936465418_0.485553768061201	0_2_2	NaN_NaN_0.486363936465418	NaN_NaN_0.485553768061201	0_0_0.972727872930836	0_0_0.971107536122402	NaN_NaN_178	NaN_NaN_350	NaN_0.0223947550034506_0.0223947550034506	6.614
doc_small_0.2_0.25_0.398528102921056	1.61161224443464_0.204265318245302	0_3_3	NaN_NaN_0.740599098398582	NaN_NaN_0.471581887167899	0_0_2.22179729519574	0_0_1.4147456615037	NaN_NaN_118.666666666667	NaN_NaN_236	NaN_0.0354416677035684_0.0354416677035684	4.635
doc_small_0.2_0.25_0.398528102921056	0.904105539659799_0.341683245191807	0_3_3	NaN_NaN_0.475431158421247	NaN_NaN_0.55903880889807	0_0_1.42629347526374	0_0_1.67711642669421	NaN_NaN_118.666666666667	NaN_NaN_240.333333333333	NaN_0.025872861521379_0.025872861521379	4.551
doc_small_0.2_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_0.797056205842111
doc_small_0.2_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_0.797056205842111
doc_small_0.2_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_0.797056205842111
doc_small_0.2_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_1.29521633449343
doc_small_0.2_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_1.29521633449343
doc_small_0.2_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.2_0.25_1.29521633449343
doc_small_0.2_0.5_0.398528102921056	0.173675186800373_0.676865996031819	0_3_3	NaN_NaN_0.0867487214673117	NaN_NaN_0.811403521111674	0_0_0.260246164401935	0_0_2.43421056333502	NaN_NaN_118.666666666667	NaN_NaN_242	NaN_0.0144619251970323_0.0144619251970323	7.494
doc_small_0.2_0.5_0.398528102921056	0.173675186800373_0.676865996031819	0_3_3	NaN_NaN_0.0867487214673117	NaN_NaN_0.811403521111674	0_0_0.260246164401935	0_0_2.43421056333502	NaN_NaN_118.666666666667	NaN_NaN_242	NaN_0.0144619251970323_0.0144619251970323	4.847
doc_small_0.2_0.5_0.398528102921056	0.173675186800373_0.676865996031819	0_3_3	NaN_NaN_0.0867487214673117	NaN_NaN_0.811403521111674	0_0_0.260246164401935	0_0_2.43421056333502	NaN_NaN_118.666666666667	NaN_NaN_242	NaN_0.0144619251970323_0.0144619251970323	4.731
doc_small_0.2_0.5_0.797056205842111	12.1530538656377_0.000490075536627019	2_2_4	12.0320837269782_2.39052587073399_7.21130479885612	0.00052403793151822_0.125298281488929_0.0629111597102235	24.0641674539565_4.78105174146798_28.8452191954245	0.00104807586303644_0.250596562977858_0.251644638840894	91.5_86.5_89	339.5_39.5_189.5	0.162349397590361_0.0778491171749599_0.120099257382661	7.944
doc_small_0.2_0.5_0.797056205842111	13.4033704234064_0.000251172571339983	3_2_5	9.87632837357457_0.621914830887041_6.17456295649956	0.0147754661893362_0.431523416347188_0.181474646252477	29.6289851207237_1.24382966177408_30.8728147824978	0.0443263985680086_0.863046832694376_0.907373231262385	68.3333333333333_75.5_71.2	225.666666666667_52.5_156.4	0.177834976370672_0.0468388985598988_0.125436545246363	5.979
doc_small_0.2_0.5_0.797056205842111	12.1530538656377_0.000490075536627019	1_4_5	12.1530538656377_1.62354562615627_3.72944727405256	0.000490075536627019_0.507458814628077_0.406065066809787	12.1530538656377_6.49418250462506_18.6472363702628	0.000490075536627019_2.02983525851231_2.03032533404894	100_64_71.2	666_47.5_171.2	0.152808988764045_0.0584913389513109_0.0773548689138577	5.818
doc_small_0.2_0.5_0.996320257302639	27.5401971693745_1.53863223056581e-07	4_1_5	16.0460007412584_2.03967746832713_13.2447360866721	0.0107515344726491_0.153242135430668_0.0392496546642529	64.1840029650336_2.03967746832713_66.2236804333607	0.0430061378905963_0.153242135430668_0.196248273321264	80.75_33_71.2	209.75_17_171.2	0.194182040151926_0.133554647599591_0.182056561641459	6.787
doc_small_0.2_0.5_0.996320257302639	19.0468266418419_1.27549702139342e-05	3_2_5	14.3340836147249_2.42278755814129_9.56956519209147	0.00266725777491041_0.119951091482146_0.0495807912578045	43.0022508441748_4.84557511628257_47.8478259604574	0.00800177332473122_0.239902182964291_0.247903956289023	82.3333333333333_54.5_71.2	260.333333333333_45_174.2	0.185518231077133_0.118527218132507_0.158721825899282	5.398
doc_small_0.2_0.5_0.996320257302639	21.7076639313602_3.17520220463916e-06	4_1_5	13.9115406148911_1.9756444477163e-29_11.1292324919129	0.00268003473973271_0.999999999999996_0.202144027791785	55.6461624595645_1.9756444477163e-29_55.6461624595645	0.0107201389589308_0.999999999999996_1.01072013895893	83.25_23_71.2	216.25_30_179	0.179230969034459_0.0189301416707377_0.147170803561715	5.38
doc_small_0.2_0.5_1.29521633449343	10.3109219456438_0.00132245200115442	3_2_5	6.61250296964421_0.488708793611996_4.16298529923133	0.0202767575401135_0.484506323969083_0.205968584111701	19.8375089089326_0.977417587223993_20.8149264961566	0.0608302726203404_0.969012647938166_1.02984292055851	80.6666666666667_57_71.2	312.333333333333_87.5_222.4	0.130940391394096_0.0566747373863479_0.101234129790997	9.34
doc_small_0.2_0.5_1.29521633449343	5.12750265652453_0.0235495877969374	1_4_5	5.12750265652453_1.37811509321583_2.12799260587757	0.0235495877969374_0.281597399939614_0.229987837511079	5.12750265652453_5.51246037286331_10.6399630293878	0.0235495877969374_1.12638959975846_1.14993918755539	89_66.75_71.2	666_108_219.6	0.109550561797753_0.0739292075445434_0.0810534783951853	7.133
doc_small_0.2_0.5_1.29521633449343	38.1324933059984_6.61001489448171e-10	3_1_4	18.2121353336824_0.938189860499361_13.8936489653866	0.00809780527939489_0.332743798384991_0.089259303555794	54.6364060010471_0.938189860499361_55.5745958615464	0.0242934158381847_0.332743798384991_0.357037214223176	94_74_89	294.333333333333_175_264.5	0.17535022427828_0.056863042818099_0.145728428913235	6.879
doc_small_0.2_0.75_0.398528102921056	30.3680163179408_3.57372254521649e-08	1_1_2	30.3680163179408_0.0543842645206148_15.2112002912307	3.57372254521649e-08_0.81560273537913_0.407801385558178	30.3680163179408_0.0543842645206148_30.4224005824614	3.57372254521649e-08_0.81560273537913_0.815602771116355	92_148_120	30_666_348	0.252808988764045_0.0107045247494686_0.131756756756757	7.237
doc_small_0.2_0.75_0.398528102921056	0.0543842645206148_0.81560273537913	0_3_3	NaN_NaN_0.0293796059083546	NaN_NaN_0.889944206450673	0_0_0.0881388177250637	0_0_2.66983261935202	NaN_NaN_118.666666666667	NaN_NaN_234.333333333333	NaN_0.00898693338329961_0.00898693338329961	4.496
doc_small_0.2_0.75_0.398528102921056	0.0543842645206148_0.81560273537913	0_3_3	NaN_NaN_0.0293699494028431	NaN_NaN_0.889964828438509	0_0_0.0881098482085294	0_0_2.66989448531553	NaN_NaN_118.666666666667	NaN_NaN_234.333333333333	NaN_0.00906402249831656_0.00906402249831656	4.414
doc_small_0.2_0.75_0.797056205842111	0.954560995645587_0.328561046006434	0_3_3	NaN_NaN_0.632523755253662	NaN_NaN_0.507597166921339	0_0_1.89757126576099	0_0_1.52279150076402	NaN_NaN_118.666666666667	NaN_NaN_238.666666666667	NaN_0.0559006413114559_0.0559006413114559	6.669
doc_small_0.2_0.75_0.797056205842111	0.954560995645587_0.328561046006434	0_3_3	NaN_NaN_0.632523755253662	NaN_NaN_0.507597166921339	0_0_1.89757126576099	0_0_1.52279150076402	NaN_NaN_118.666666666667	NaN_NaN_238.666666666667	NaN_0.0559006413114559_0.0559006413114559	4.745
doc_small_0.2_0.75_0.797056205842111	0.708085488130896_0.400080116999617	0_3_3	NaN_NaN_0.445180092948121	NaN_NaN_0.5650034352244	0_0_1.33554027884436	0_0_1.6950103056732	NaN_NaN_118.666666666667	NaN_NaN_238.666666666667	NaN_0.0485137697693332_0.0485137697693332	4.706
doc_small_0.2_0.75_1.29521633449343	31.6278151503316_1.86735675990838e-08	4_0_4	21.2202692038351_NaN_21.2202692038351	0.000129387337915508_NaN_0.000129387337915508	84.8810768153404_0_84.8810768153404	0.000517549351662031_0_0.000517549351662031	89_NaN_89	236.25_NaN_236.25	0.22033450406731_NaN_0.22033450406731	8.95
doc_small_0.2_0.75_1.29521633449343	12.1677416186666_0.000486231426023231	2_2_4	9.13657589184027_0.774952151482533_4.9557640216614	0.00698154915301856_0.606574784451341_0.30677816680218	18.2731517836805_1.54990430296507_19.8230560866456	0.0139630983060371_1.21314956890268_1.22711266720872	97_81_89	372.5_142_257.25	0.133398885611275_0.0367312411210126_0.0850650633661438	6.303
doc_small_0.2_0.75_1.29521633449343	12.1677416186666_0.000486231426023231	2_2_4	8.13373864412568_1.46612302079314_4.79993083245941	0.0216880749651738_0.543413310275511_0.282550692620342	16.2674772882514_2.93224604158628_19.1997233298376	0.0433761499303476_1.08682662055102_1.13020277048137	94_84_89	418.5_99_258.75	0.125250737463127_0.0463608707506422_0.0858058041068845	6.135
doc_small_0.4_0.25_0.398528102921056	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.398528102921056
doc_small_0.4_0.25_0.398528102921056	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.398528102921056
doc_small_0.4_0.25_0.398528102921056	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.398528102921056
doc_small_0.4_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.797056205842111
doc_small_0.4_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.797056205842111
doc_small_0.4_0.25_0.797056205842111	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_0.797056205842111
doc_small_0.4_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_1.29521633449343
doc_small_0.4_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_1.29521633449343
doc_small_0.4_0.25_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.25_1.29521633449343
doc_small_0.4_0.5_0.398528102921056	0.300633588008248_0.583485490411988	0_2_2	NaN_NaN_0.300633588008248	NaN_NaN_0.583485490411988	0_0_0.601267176016496	0_0_1.16697098082398	NaN_NaN_178	NaN_NaN_348	NaN_0.017509228053282_0.017509228053282	6.061
doc_small_0.4_0.5_0.398528102921056	0.300633588008248_0.583485490411988	0_2_2	NaN_NaN_0.300633588008248	NaN_NaN_0.583485490411988	0_0_0.601267176016496	0_0_1.16697098082398	NaN_NaN_178	NaN_NaN_348	NaN_0.017509228053282_0.017509228053282	4.217
doc_small_0.4_0.5_0.398528102921056	0.300633588008248_0.583485490411988	0_2_2	NaN_NaN_0.300633588008248	NaN_NaN_0.583485490411988	0_0_0.601267176016496	0_0_1.16697098082398	NaN_NaN_178	NaN_NaN_348	NaN_0.017509228053282_0.017509228053282	4.347
doc_small_0.4_0.5_0.797056205842111	4.97752650429556_0.0256786721681857	2_0_2	4.97752650429556_NaN_4.97752650429556	0.0256786721681857_NaN_0.0256786721681857	9.95505300859113_0_9.95505300859113	0.0513573443363715_0_0.0513573443363715	178_NaN_178	336_NaN_336	0.0624779329160648_NaN_0.0624779329160648	5.648
doc_small_0.4_0.5_0.797056205842111	4.97752650429556_0.0256786721681857	2_0_2	4.97752650429556_NaN_4.97752650429556	0.0256786721681857_NaN_0.0256786721681857	9.95505300859113_0_9.95505300859113	0.0513573443363715_0_0.0513573443363715	178_NaN_178	336_NaN_336	0.0624779329160648_NaN_0.0624779329160648	4.241
doc_small_0.4_0.5_0.797056205842111	4.97752650429556_0.0256786721681857	2_0_2	4.97752650429556_NaN_4.97752650429556	0.0256786721681857_NaN_0.0256786721681857	9.95505300859113_0_9.95505300859113	0.0513573443363715_0_0.0513573443363715	178_NaN_178	336_NaN_336	0.0624779329160648_NaN_0.0624779329160648	4.398
doc_small_0.4_0.5_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.5_1.29521633449343
doc_small_0.4_0.5_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.5_1.29521633449343
doc_small_0.4_0.5_1.29521633449343	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_small_0.4_0.5_1.29521633449343
doc_small_0.4_0.75_0.398528102921056	0.0543842645206148_0.81560273537913	0_2_2	NaN_NaN_0.0543842645206148	NaN_NaN_0.81560273537913	0_0_0.10876852904123	0_0_1.63120547075826	NaN_NaN_178	NaN_NaN_348	NaN_0.00916060291060289_0.00916060291060289	6.696
doc_small_0.4_0.75_0.398528102921056	0.0543842645206148_0.81560273537913	0_2_2	NaN_NaN_0.0543842645206148	NaN_NaN_0.81560273537913	0_0_0.10876852904123	0_0_1.63120547075826	NaN_NaN_178	NaN_NaN_348	NaN_0.00916060291060289_0.00916060291060289	4.321
doc_small_0.4_0.75_0.398528102921056	0.0543842645206148_0.81560273537913	0_2_2	NaN_NaN_0.0543842645206148	NaN_NaN_0.81560273537913	0_0_0.10876852904123	0_0_1.63120547075826	NaN_NaN_178	NaN_NaN_348	NaN_0.00916060291060289_0.00916060291060289	4.25
doc_small_0.4_0.75_0.797056205842111	0.0339213655588171_0.853874180002128	0_2_2	NaN_NaN_0.0339213655588171	NaN_NaN_0.853874180002128	0_0_0.0678427311176341	0_0_1.70774836000426	NaN_NaN_178	NaN_NaN_348	NaN_0.00890625_0.00890625	6.774
doc_small_0.4_0.75_0.797056205842111	0.0339213655588171_0.853874180002128	0_2_2	NaN_NaN_0.0339213655588171	NaN_NaN_0.853874180002128	0_0_0.0678427311176341	0_0_1.70774836000426	NaN_NaN_178	NaN_NaN_348	NaN_0.00890625_0.00890625	4.581
doc_small_0.4_0.75_0.797056205842111	0.0339213655588171_0.853874180002128	0_2_2	NaN_NaN_0.0339213655588171	NaN_NaN_0.853874180002128	0_0_0.0678427311176341	0_0_1.70774836000426	NaN_NaN_178	NaN_NaN_348	NaN_0.00890625_0.00890625	4.339
doc_small_0.4_0.75_1.29521633449343	29.2146269124529_6.47882633389962e-08	3_0_3	17.2812617568404_NaN_17.2812617568404	0.00189202696335178_NaN_0.00189202696335178	51.8437852705212_0_51.8437852705212	0.00567608089005535_0_0.00567608089005535	118.666666666667_NaN_118.666666666667	254.333333333333_NaN_254.333333333333	0.181353232701547_NaN_0.181353232701547	7.194
